material,model,fold,origin,seconds,status,MAE,RMSE,MAPE,sMAPE,MASE,Bias,PICP
HOSE Pipe & Accessories,ETS,4,2024-04-01,0.1755335330963134,ok,0.23122881607907156,0.2535657559432311,70.95933996399332,46.73202954431904,0.27586238375587707,0.1209091149038814,1.0
HOSE Pipe & Accessories,ETS,5,2024-03-01,3.4814789295196533,ok,0.5246813295085204,0.6388501986994385,79.35881965474087,68.60210078615383,0.6274062510153348,-0.28607075519222785,1.0
HOSE Pipe & Accessories,MLForecast,0,2024-08-01,0.2592461109161377,ok,0.8494342876756152,0.9930732093326068,126.4351601494655,66.65306563202239,1.0498605158251568,0.42595951655994996,0.6666666666666666
HOSE Pipe & Accessories,MLForecast,1,2024-07-01,0.2533555030822754,ok,1.1786674592737416,1.3978363666239815,165.05230588400147,110.37974816147636,1.4352008367950202,0.04019014002331689,0.3333333333333333
HOSE Pipe & Accessories,MLForecast,2,2024-06-01,0.2480013370513916,ok,0.7206009471229473,1.0761909345481644,149.57688078820536,73.71178707004421,0.865416200095436,0.5631175333636187,0.3333333333333333
HOSE Pipe & Accessories,MLForecast,3,2024-05-01,0.31838083267211914,ok,0.3733935628284975,0.5464854139349107,147.47182338812485,62.16565474590847,0.44540065807570506,0.2513011713462871,1.0
HOSE Pipe & Accessories,MLForecast,4,2024-04-01,0.22860336303710938,ok,0.5818218004211815,0.5888140757571442,146.15827013927057,155.94476429935958,0.6941295272231008,-0.18549591875906915,1.0
HOSE Pipe & Accessories,MLForecast,5,2024-03-01,0.42992401123046875,ok,0.36455382950402687,0.4779598696870686,72.41210518451635,91.81523584526299,0.4359281312271104,-0.1831428748520756,1.0
HOSE Pipe & Accessories,NBEATSx,0,2024-08-01,28.371137142181396,ok,0.8125920548445639,0.9687519835736855,115.58514312686079,63.050670025707355,1.0043252623919576,0.1480693792832438,0.0
HOSE Pipe & Accessories,NBEATSx,1,2024-07-01,27.230737686157227,ok,1.3106176585508982,1.8907152622065793,138.53079421764116,68.25485788882271,1.595869594490708,1.3006395658346812,0.3333333333333333
HOSE Pipe & Accessories,NBEATSx,2,2024-06-01,29.597267627716064,ok,0.33326575552686055,0.3935118215366793,70.86644089180793,137.8154667867437,0.4002403617723551,-0.33326575552686055,0.0
HOSE Pipe & Accessories,NBEATSx,3,2024-05-01,30.738780736923218,ok,0.7390644376907348,0.8968079018940264,270.61178238261533,183.57630844705614,0.8815893461425284,0.2283777710240682,0.0
HOSE Pipe & Accessories,NBEATSx,4,2024-04-01,36.265780210494995,ok,0.5379458585281371,0.7029740342172961,192.44333730163652,114.58524785474881,0.6417843129656765,0.21202379693349208,0.0
HOSE Pipe & Accessories,NBEATSx,5,2024-03-01,33.36153483390808,ok,1.001168609740448,1.168495142065787,208.71370129446643,121.46872433495501,1.197182763602204,-0.08252262359288538,0.0
HOSE Pipe & Accessories,NHITS,0,2024-08-01,39.61721444129944,ok,0.7745415622399902,1.2477263191805523,148.37704586325071,49.306427336100484,0.95729665715099,0.6640732264054362,0.6666666666666666
HOSE Pipe & Accessories,NHITS,1,2024-07-01,36.9484281539917,ok,1.0015284126553536,1.4684898227143728,81.56833503403908,84.36588916084386,1.2195080169623327,0.7160386230044365,0.0
HOSE Pipe & Accessories,NHITS,2,2024-06-01,34.06956624984741,ok,0.2153302924633026,0.2786003407104802,49.13631957909934,80.75260811142559,0.2586040501515405,-0.09482037420336405,0.6666666666666666
HOSE Pipe & Accessories,NHITS,3,2024-05-01,37.56411552429199,ok,0.7281443824801445,0.9122075862895749,268.22173127765177,157.46176178813,0.8685634124864252,0.26711372449413934,0.0
HOSE Pipe & Accessories,NHITS,4,2024-04-01,37.5038948059082,ok,0.7510284244321187,1.0207044597026134,276.34454601648764,122.2289595419982,0.8959977175224428,0.4408777577654521,0.3333333333333333
HOSE Pipe & Accessories,NHITS,5,2024-03-01,28.865864038467407,ok,1.1230493297995248,1.2545071774835668,284.7096632982894,107.7182961778405,1.3429259439721721,0.2804023595111847,0.0
HOSE Pipe & Accessories,Naive,0,2024-08-01,0.0,ok,0.9394701933333334,1.0946001952920978,67.08539036224185,107.09086270018125,1.161140627457164,-0.9394701933333334,
HOSE Pipe & Accessories,Naive,1,2024-07-01,0.0,ok,0.5282706666666667,0.8077105257322496,45.30046278068586,56.41146688897496,0.6432471660169755,-0.4186560000000001,
HOSE Pipe & Accessories,Naive,2,2024-06-01,0.0020108222961425,ok,0.18371866666666667,0.20280276536576122,40.804764655756095,53.10125593988858,0.22063960785516376,-0.18371866666666667,
HOSE Pipe & Accessories,Naive,3,2024-05-01,0.0020110607147216,ok,0.44638300000000003,0.4566066217343619,152.19650066617987,82.06939533413848,0.5324657459216207,0.44638300000000003,
HOSE Pipe & Accessories,Naive,4,2024-04-01,0.0017902851104736,ok,1.1311385166666668,1.152888078872832,314.31810627399614,110.09080220653091,1.3494795884741637,1.1311385166666668,
HOSE Pipe & Accessories,Naive,5,2024-03-01,0.0,ok,1.677289583333333,1.7718897950382149,421.2527650199975,105.71007282334939,2.0056783235111286,1.677289583333333,
HOSE Pipe & Accessories,NeuralProphet,0,2024-08-01,74.8913300037384,ok,0.3870738798783875,0.43414790923142627,29.569640243893502,32.99467890787236,0.4784049679741159,-0.3093166176942444,1.0
